year,name,sex,babies
1985,Jessica,F,48343
1985,Ashley,F,47007
1985,Jennifer,F,42649
1985,Amanda,F,39050
1985,Sarah,F,24877
1985,Stephanie,F,23239
1985,Nicole,F,22963
1985,Heather,F,21149
1985,Elizabeth,F,20538
1985,Megan,F,20014
1985,Melissa,F,19957
1985,Christina,F,16596
1985,Rachel,F,16360
1985,Laura,F,15992
1985,Lauren,F,15765
1985,Amber,F,15504
1985,Brittany,F,15438
1985,Danielle,F,15403
1985,Kimberly,F,14914
1985,Amy,F,14422
1985,Crystal,F,14398
1985,Michelle,F,13965
1985,Tiffany,F,13682
1985,Emily,F,13134
1985,Rebecca,F,12702
1985,Erin,F,11384
1985,Jamie,F,11037
1985,Kelly,F,11029
1985,Samantha,F,10657
1985,Sara,F,10553
1985,Angela,F,10226
1985,Katherine,F,10123
1985,Andrea,F,10049
1985,Erica,F,9525
1985,Mary,F,9240
1985,Lisa,F,9015
1985,Lindsey,F,8464
1985,Kristen,F,8440
1985,Katie,F,7993
1985,Lindsay,F,7872
1985,Shannon,F,7712
1985,Vanessa,F,7565
1985,Courtney,F,7534
1985,Christine,F,7440
1985,Alicia,F,7121
1985,Allison,F,7029
1985,April,F,6693
1985,Kathryn,F,6632
1985,Kristin,F,6567
1985,Jenna,F,6433
1985,Tara,F,6100
1985,Maria,F,6004
1985,Krystal,F,5936
1985,Anna,F,5881
1985,Julie,F,5763
1985,Holly,F,5603
1985,Kristina,F,5565
1985,Natalie,F,5536
1985,Victoria,F,5425
1985,Jacqueline,F,5244
1985,Monica,F,4986
1985,Cassandra,F,4724
1985,Meghan,F,4665
1985,Patricia,F,4398
1985,Catherine,F,4289
1985,Cynthia,F,4129
1985,Stacy,F,4111
1985,Kathleen,F,4084
1985,Brandi,F,4045
1985,Brandy,F,3902
1985,Valerie,F,3879
1985,Veronica,F,3877
1985,Whitney,F,3833
1985,Diana,F,3684
1985,Chelsea,F,3614
1985,Caitlin,F,3607
1985,Leslie,F,3607
1985,Leah,F,3574
1985,Natasha,F,3552
1985,Erika,F,3500
1985,Latoya,F,3403
1985,Dana,F,3345
1985,Dominique,F,3299
1985,Brittney,F,3224
1985,Julia,F,3202
1985,Candice,F,3196
1985,Karen,F,3138
1985,Melanie,F,3130
1985,Stacey,F,3115
1985,Margaret,F,3069
1985,Sheena,F,3062
1985,Alexandra,F,3013
1985,Katrina,F,2978
1985,Bethany,F,2959
1985,Nichole,F,2949
1985,Carrie,F,2940
1985,Alison,F,2828
1985,Kara,F,2811
1985,Joanna,F,2771
1985,Rachael,F,2761
1985,Felicia,F,2738
1985,Brooke,F,2726
1985,Jasmine,F,2706
1985,Candace,F,2705
1985,Susan,F,2660
1985,Sandra,F,2657
1985,Tracy,F,2653
1985,Kayla,F,2607
1985,Nancy,F,2605
1985,Tina,F,2599
1985,Krystle,F,2579
1985,Alexis,F,2516
1985,Casey,F,2477
1985,Gina,F,2476
1985,Jillian,F,2476
1985,Pamela,F,2468
1985,Hannah,F,2447
1985,Renee,F,2439
1985,Denise,F,2433
1985,Molly,F,2431
1985,Misty,F,2413
1985,Brenda,F,2384
1985,Jaclyn,F,2384
1985,Lacey,F,2358
1985,Heidi,F,2321
1985,Desiree,F,2304
1985,Morgan,F,2281
1985,Sabrina,F,2269
1985,Miranda,F,2268
1985,Alyssa,F,2258
1985,Alisha,F,2211
1985,Teresa,F,2211
1985,Meagan,F,2204
1985,Krista,F,2182
1985,Tabitha,F,2154
1985,Theresa,F,2120
1985,Melinda,F,2114
1985,Linda,F,2113
1985,Monique,F,2112
1985,Tanya,F,2112
1985,Ashlee,F,2064
1985,Kelli,F,2058
1985,Jill,F,2038
1985,Mallory,F,2038
1985,Kristy,F,2023
1985,Anne,F,2021
1985,Robin,F,2010
1985,Tamara,F,1992
1985,Meredith,F,1958
1985,Colleen,F,1950
1985,Christy,F,1940
1985,Marissa,F,1890
1985,Abigail,F,1846
1985,Kendra,F,1838
1985,Carolyn,F,1837
1985,Deanna,F,1816
1985,Jenny,F,1808
1985,Rebekah,F,1791
1985,Lori,F,1790
1985,Ebony,F,1786
1985,Wendy,F,1782
1985,Angel,F,1781
1985,Kristi,F,1754
1985,Caroline,F,1750
1985,Dawn,F,1731
1985,Kari,F,1721
1985,Priscilla,F,1701
1985,Kelsey,F,1699
1985,Barbara,F,1673
1985,Cassie,F,1659
1985,Cristina,F,1648
1985,Tonya,F,1641
1985,Bridget,F,1613
1985,Cindy,F,1593
1985,Jaime,F,1558
1985,Angelica,F,1542
1985,Sharon,F,1535
1985,Marie,F,1508
1985,Kate,F,1491
1985,Adrienne,F,1490
1985,Tasha,F,1480
1985,Michele,F,1478
1985,Ana,F,1469
1985,Cara,F,1464
1985,Stefanie,F,1462
1985,Audrey,F,1446
1985,Ann,F,1442
1985,Kristine,F,1441
1985,Shana,F,1423
1985,Katelyn,F,1418
1985,Brianna,F,1417
1985,Deborah,F,1401
1985,Claudia,F,1396
1985,Carla,F,1394
1985,Virginia,F,1379
1985,Haley,F,1378
1985,Jacquelyn,F,1360
1985,Janelle,F,1360
1985,Beth,F,1341
1985,Latasha,F,1323
1985,Savannah,F,1321
1985,Carly,F,1310
1985,Ashleigh,F,1275
1985,Regina,F,1275
1985,Aimee,F,1274
1985,Mandy,F,1268
1985,Janet,F,1242
1985,Kaitlin,F,1236
1985,Cheryl,F,1224
1985,Autumn,F,1222
1985,Martha,F,1220
1985,Lydia,F,1215
1985,Abby,F,1208
1985,Shawna,F,1200
1985,Sierra,F,1200
1985,Nina,F,1198
1985,Tammy,F,1196
1985,Nikki,F,1195
1985,Donna,F,1191
1985,Claire,F,1185
1985,Bonnie,F,1176
1985,Trisha,F,1176
1985,Carmen,F,1169
1985,Diane,F,1169
1985,Summer,F,1166
1985,Mayra,F,1165
1985,Taryn,F,1135
1985,Toni,F,1133
1985,Evelyn,F,1132
1985,Joy,F,1122
1985,Adriana,F,1120
1985,Mindy,F,1116
1985,Ruth,F,1116
1985,Jessie,F,1112
1985,Suzanne,F,1099
1985,Sophia,F,1097
1985,Jodi,F,1086
1985,Christie,F,1083
1985,Raquel,F,1081
1985,Naomi,F,1076
1985,Kellie,F,1073
1985,Grace,F,1062
1985,Shanna,F,1056
1985,Hilary,F,1054
1985,Taylor,F,1050
1985,Hillary,F,1047
1985,Yolanda,F,1043
1985,Olivia,F,1020
1985,Amelia,F,1014
1985,Paula,F,1014
1985,Rosa,F,1011
1985,Sheila,F,1011
1985,Robyn,F,1009
1985,Gloria,F,997
1985,Keri,F,977
